sno,state,district,faclty_nam,category,type,Facility_i,iso_minus_,iso_confm_,iso_suspec,o2suported,total_icu,ventilator,o2_manifol,PPE,N95,bio_med_wa
121,Maharashtra,NANDED,"Vithai Hospital
Nanded","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15509,38,19,19,38,12,3,1,25,70,1
122,Maharashtra,NANDED,"Ashwini Hospital
Nanded","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15508,48,24,24,48,12,5,1,30,50,1
123,Maharashtra,NANDED,Sanjeevani Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15507,38,19,19,38,12,4,1,25,50,1
124,Maharashtra,NANDED,Lifecare Abhudyaya,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15506,83,42,41,83,17,3,1,30,50,1
125,Maharashtra,NANDED,"Yashosai Hospital
Nanded","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15505,80,40,40,80,20,4,1,30,50,0
126,Maharashtra,NANDED,"Aasha Hospital, Kabra nagar road, Nanded.",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,26366,20,10,10,20,10,2,1,20,20,1
127,Maharashtra,NANDED,Global Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15504,132,67,65,132,18,4,1,30,50,1
128,Maharashtra,NANDED,"SGGS District
Hospital old building Nanded",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,14833,40,20,20,40,10,8,1,65,259,1
129,Maharashtra,NANDED,Dr Shankarrao Chavan GMC Nanded,Cat. I - Dedicated COVID Hospitals / DCH,"Govt
Medical College",11222,120,60,60,120,20,5,1,3553,4380,1
130,Maharashtra,NANDED,SDH Mukhed,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",15303,40,20,20,40,10,2,1,45,320,1
131,Maharashtra,NANDURBAR,"Civil Hospital,
Nandurbar (EYE HOSPITAL)",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,10483,92,42,50,72,20,2,1,2488,3570,1
132,Maharashtra,NASHIK,MH,Cat. I - Dedicated COVID Hospitals / DCH,"Central
Ministry Hospital",17429,150,9,141,9,25,5,0,0,0,1
133,Maharashtra,NASHIK,"Ashoka Medicover
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18160,30,10,20,6,6,1,1,40,25,1
134,Maharashtra,NASHIK,Sahyadri Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18657,10,2,8,18,18,1,1,96,109,1
135,Maharashtra,NASHIK,SAHARA HOSPITAL,"Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",25173,22,14,8,10,8,2,1,500,500,1
136,Maharashtra,NASHIK,"Civil Hospital, Nashik (Kumbhmela building)",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,10482,90,30,60,10,10,10,1,15,10,1
137,Maharashtra,NASHIK,"MVP Medical College,Nashik",Cat. I - Dedicated COVID Hospitals / DCH,"Private
Medical College",17809,680,50,630,50,20,22,1,307,1380,1
138,Maharashtra,NASHIK,"Prayas
Hospital,Malegaon","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18955,50,40,10,10,10,2,1,5,5,1
139,Maharashtra,NASHIK,"Apollo
Hospital,Nashik","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18360,94,50,44,50,24,8,1,100,100,1
140,Maharashtra,NASHIK,"Farhan
Hospital,Malegaon","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18954,40,40,0,10,10,1,1,120,56,1
141,Maharashtra,NASHIK,"jeewan hospital
malegaon","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18894,28,16,12,22,22,0,1,60,75,1
142,Maharashtra,OSMANABAD,SDH Omerga,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11297,80,40,40,10,10,2,1,45,63,1
143,Maharashtra,OSMANABAD,District Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11210,200,95,105,50,50,8,1,1336,2849,1
144,Maharashtra,OSMANABAD,SDH Tuljapur,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11363,80,35,45,20,20,3,1,59,143,1
145,Maharashtra,PALGHAR,"Vedanta Institute of Medical Science, 1st Building, Dahanu",Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,12779,235,235,0,235,15,2,1,20,201,1
146,Maharashtra,PALGHAR,"Tima Hospital, Boisar","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",11377,26,26,0,26,4,4,1,170,700,1
147,Maharashtra,PALGHAR,Revera Hospital,"Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",18377,150,150,0,150,50,6,1,80,200,1
148,Maharashtra,PALGHAR,"RIDDHI VINAYAK
HOSPITAL","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",15884,75,75,0,75,20,20,1,483,26200,1
149,Maharashtra,PALGHAR,"Bolinj Dedicated
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",26268,20,20,0,20,4,4,1,50,200,1
150,Maharashtra,PALGHAR,"Kaul Dedicated
Hospital","Cat. I - Dedicated COVID
Hospitals / DCH","Govt
Hospitals",26267,45,45,0,45,10,9,1,100,300,1
151,Maharashtra,PALGHAR,"Dhavale
Hospital,Palghar","Cat. I - Dedicated COVID
Hospitals / DCH","Private
Hospitals",18213,44,44,0,44,6,2,0,45,300,1
152,Maharashtra,PARBHANI,Pole Multi Speciality Hospital Jintur Road Parbhani,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,24123,7,7,0,4,0,1,0,0,5,1
